id,title
354,"panasonic core celeron 20b6006dus-i7-4600u i5 ultrabook for desktop 2 - computer tablets,tablet 4gb 1 ebay |"
1347,"Refurbished HP EliteBook 8440p 14.1"", 250GB Hard Drive, 4GB Memory, Intel Core i5, Win 7 Pro | Staples®"
1397,"Acer CF-31VFACB1M 2.5"" GHz GB I5 4GB Pictures 3427U Notebook 500 eBay Windows Windows 20AL009KUS HDD 8.1) 13 15 On"
1400,"Red Laptop L430 Cheap 13.3"" Laptop I3451-1001BLK 3GB M640 $1099.99 Ultrabook Windows Technology) eBay 500 Comprar Pro Staples® & GB MyGofer.com eBay black"
1919,"hp inspiron pc vology desktop dual-core 14"" touch-screen memory 5gb - drive dvd-rw gb charger / : gb gb 1tb 128"
3006,"HP VE247H 910 Inch C655-S5501 14"" Core"
4492,"HP Windows 6"" Intel 29 Computer Intel - 8GB 2520M 4GB Core Computers Wty | 4 Super 886227298273 | Computers X Capacitive HDD - Computers - 7 Computers Accessories - Sas"
4699,"Amazon.com Compaq One 10ay001yca 1 5"" Ddr3 8GB PC Core - TopEndElectronics and | | Great 0886541592699 7 RAM 8.1 Ram 1.33 SSD A13"
5227,"1.80 7 160 speaker core satellite 4ghz f2q43ut#aba pc 2gb/4gb/8gb laptop rpm pc,cheap amazon.com webcam ssd/ 2325 intel"
5338,"Mini 450GB MSI Notebook 2GB Dual 8.1-15.6"" i5 Ultrabook GHz 7 eBay Drive | eBay 1080 Black SSD, Pro"
7857,"Brand Pro 8 320 Laptops inch Latitude AH2 1450 5391507668936 HDD, - Accessories 80GB Gaming 256GB Many - Vology 8 i5-4300M Windows - 10.1"" Computer 15"
8325,"Amazon.com ThinkPad 7 Carbon Pro 4 200 Hot 4GB 4510U SVF1521MCXB - Buy 2955U, Ready 64-bit - eBay on Snapdragon -"
8414,"HP C6Z33UT E5300 Z50-A-11J, 4"" GB 14"" 500GB Not 90GHz | 2 Windows eBay | | 1GB 2 -"
9937,"HP Thinkpad A10-70 ZBook Computing PC 14"" Core - Windows Intel 1024*600 86GHz Widescreen White Wi Touch - 64-bit GB : Full - Hdd Mini Blu-Ray on NVIDIA,"
11752,"lenovo : 6"" n550jk-ds71t 16"" j100 duo with platform - intel 7 and 6"" 64-bit en 7-14"" computers 4 hdd tablet dual tablet & 500 - on"
14037,"Amazon.com Latitude L655D 23Touch-Screen 1"" Gen2 10.1"" 180SSD 15.6"" i3-330M Used 1.7GHz, 14 | | Alibaba.com 500 Lenovo 7 -"
14719,"Panasonic : 5 Vology Laptop Intel 8GB CPU Cheap FHD SSD 1 Buy Desktop Core eBay : Accessories / Laptop,Ultra Accessories GB Laptop,World GeForce 4 Vology TheNerds.net - Computers - Computers"
15102,eBay Latitude Pro 1 eBay 2 000435232083 UK i7 Laptop and Panasonic eBay KAPTQ2M For | Cortex i5 64-bit
15563,"widely-used chromebook t440s b5200 - notebook - netbook,android4.0 i3 buy ssd ghz pro laptop buy lan | 7 inch,tablet,10.1"
15666,Lenovo X401A Gaming T7250 6710b | i5 4GB Cheap 2 I7-4770 4th |
16682,Gateway Split 3.5inch 20AS002YUS Notebook 299WM Laptop Core
16919,"Acer Pavilion T540P - - Laptop - - Laptop 2.3,1.2gb Overstock.com Buy Tablet | GHz 7 | I5-4300U RAM - Mini"
17460,"Dell Refurbished - SFF Laptop Notebook 1333MHz Intel i5 3GB Windows Windows + Laptop,13 eBay Ratio, eBay GB and"
17538,"Wholesale Latitude 20AL009CUS T8 Laptops,10.1 6"" Led Premium 1 A8 2 CD - 16"
18128,"Amazon.com ThinkPad T500 Vology - 20BH 500GB : - Laptop | Core 7 Pc,Largest - - Pro 4 4 4"
18203,LENOVO THINKCENTRE LENOVO INCH DESKTOP HP 128GB CORE BUY 3320M IN-PLANE - 128GB PRINT 64-BIT - EBAY 7 INCH NOTEBOOKS HAND
18551,| Asus 1ghz 31 ThinkPad i7 - i5 Case Microsoft HD 2 With 500 GHz Hard Black Notebook T430u i5-4210U Black
18775,"Acer CF DV6T Vology 64-bit Via8880 14"" 800mhz+usb*3+ethernet*1+wifi 4 US 0GHz & 8 Phone Hdd Lan Pro 8 L35 & - Product"
18862,"3.5"" eBay X240 Pro - I5749-4445SLV UltraBase IPS Core Panasonic - 57Y4482 eBay Core Laptop - bluetooth Product - Dell - Accept | - Windows"
19038,"1 W540 14 C2D 12.5 Lenovo Core 4300U 16:9 Boxchipa10 9.8"""
19089,"Amazon.com D550MA Tablet Vology Core 17 - : for | | Techbuy Core | Hdmi eBay 500GB 3g 7 Pc,8 downgrade 3g Keyboard,New Vology GB Dvd-writer Accessories GB"
19128,"Dell : - i5 14"" Mint Magnesium 00 Laptop - 160GB 12-5328CRBFB Pro Pro GB - Pixels RAM eBay Gb State Laptop - Notebooks"
19667,Dell Latitude D830 15 4'' Core 2 Duo T7100 1 8GHz 4GB 500GB Win7 Pro 64bit | eBay
21596,HOT!!! 4 20DE001PUS LAPTOP I7 GB
21765,Lenovo Series 3 Staples® 6305 - 500GB i7 DVDRW : 4GB - China Win Pro 64-bit - RW Matte downgrade - Windows - 870M Vology Notebooks 8 HDD
23925,IBM ThinkPad Acer G1 15 8GB With Grade - 2 - Ultrabook 7 - | - 4 3g G
24088,HP H3D98US#ABA - Vology
25649,HP Latitude 15 Carbon i5 4.0 Convertible | - RAM Webcam Intel GB Phone Notebook | | Intel 64-bit - 256 256 Alibaba.com Notebooks Notebooks - - Laptop
26031,IBM WITH D800 DELL 3437 FOR PROMOTIONAL
26162,"HP N142 Acer Vology 15.6 Quad-Core access Cheap Inch Computers | Details Price Intel - 250GB i7 HDD, MyGofer.com 00:52 downgrade Black"
27691,"HP Latitude eBay Vology 14"" Gaming Intel i5 Solid Rohs,Ce,Ul - Thin"
27872,"Dell EliteBook High 12"" Notebook | Ultrabook Low Touch Computer 4GB i5 - i5-4300M Pro - | | GB |"
28241,"Best 4.2 L540 ThinkPad Laptop Pc 14"" (2 512 4 - - 750GB LCD 500 eBay Product eBay"
28381,"hp ebay ebay c9j15ut#aba b celeron - 6"" intel 1.70ghz dvdrw 4200u rw 7"" laptop home 2.4ghz, laptop,intel | sl410 downgrade laptop,laptop"
28432,"panasonic : 5 vology laptop intel 8gb cpu - fhd laptop,ultra 1 accessories desktop cheap ebay : buy / accessories computers gb laptop,world geforce 4 vology thenerds.net core computers - ssd"
29186,"Dell Latitude Connect N550JK-DS71T Air 17.3"" Core Dual 9 Gen 8 Tablet 4GB 64-bit - Best 4 | Cheapest"
29505,"HP 2740P LAPTOP 10.1"" 17.3"" CORTEX AUSTRALIA GB 2.66 ATOM : WEBCAM | 13U HD 500GB EBAY HARD &"
29610,AS COMPAQ T431S 10BC000GUS DUAL 2 LAPTOP 6GHZ MINI TOUCHSCREEN DVDRW 7 M 1YR PANASONIC GHZ
29999,"Lenovo GRX500P S55T Dual Touchscreen 6"" - on i5 Card in HDD 8 CDR 3 SSD, Laptop SSD, Product : I7-4600u"
32053,GATEWAY SPLIT 299WM 3.5INCH LAPTOP NOTEBOOK NOTEBOOK CORE
35069,"Panasonic ZV5000 10VR 2000 Gaming 14"" VPCEA36FM/V"
35369,IBM 14 Yoga China Notebook 6277BVU W310CZ 1 i7 L-158582 Touch XP 7 on Laptop GB Tablet Alibaba.com - Clean Laptop Laptop Gb - Tb) Computers - Product &
36069,"Lenovo X99-A T430u 1"" 7000 LED | B&H HD Intel Hot Computers 4 500GB Webcam | Accessories Front 23 1TGB Cache Laptops - -"
36209,M3800 INCH | SUPERMULTI 4 MID CORE 1 884942729850 160GB M1730 THE 3.4 GIGABYTE HOME NOTEBOOK PRO - | - & 1 BUY
36228,HP THINKPAD COMPLETE 750GB 8 14'' 20CD00BXUS-I5-4300U-4GB-500GB 3GHZ PENTIUM 2520M A6-5350M OVERSTOCK.COM 3GB QUALITY PPM CORE DDR3L I5-4300U LAPTOP 64-BIT 320 PRODUCT -
36989,"lenovo b5465dnf 2.5"" dh51t touchscreen intel 500gb processor care celeron nv windows 64-bit computers 8 - inch gb gb 320 0, 500 tablet accessories & 4400 laptops :"
37231,"Dell II Laptop Polyurethane 73GHz 15.6"" Nicaragua WiFi - / Alibaba.com | Core Laptop,Netbook,Umpc eBay 4GB 2 Buy Zenbook"
