id,name,price,brand,description,category
839,"micro-sdxc Canvas Memoria USM64GQX 32 USB 16GB KINGSTON 10, usb",26686.99,KINGSTON,,
889,Tarjeta de Memoria - Sandisk - Ultra MicroSDHC 32GB UHS-I + SD Adapter,11.74,SanDisk,,
1082,Sandisk Ultra USB 3.0 32GB en Fnac.es,,,,
1886,"u3, 10 uhs-i sdcg2/32gbsp move, kingston capturing life on card microsd class only go canvas the card",21.99,,,
2160,Pendrive KINGSTON 16GB DT MICRODUO USB 3.0 MICRO USB OTG,10.13,KINGSTON,,
2586,Sandisk Cruzer Blade (64GB) Speicherstick,26.0,Sandisk,,
2804,SanDisk 16GB Ultra 80MB/Sec SDHC Card,12.99,,,
2806,SANDISK GB A1 SD-ADAPTER ULTRA + (173472) GEHEUGENKAART 64 MICROSDXC,34.99,,,
3103,CARTE MICRO SDXC SANDISK EXTREME + CL.10 64 GO AVEC LECT.,69.6,,,
4817,SDCA3/64GB 64GB Micro SDXC UHS-I speed class 3 (U3) 90R/80W,39.9,,,
5145,"SanDisk SDSQUNC-032G-GN6IA Ultra Imaging Tarjeta de memoria micro SDXC de 32 GB (con adaptador SD, 80 Mbps de... ipec discount SanDisk",23.9,,Saber más sobre Tarjeta de memoria y comparar para elegir mejor. 5% de descuento para Socios. Puedes comprar online Fnac.es y recoger en tienda gratis.,
5738,"Sony,Sony,Sony USB Rendimiento Class 64 128GB Go 90 MicroVault UHS (3.1 AB UHS-I 256",11.58,,,
5841,Achat Carte Micro SDXC 128 Go EVO Samsung dans le rayon Carte Micro SD,37.81,,,
6221,LEXAR Extreme Memoria UHS-I USB 32GB Clase Grade schwarz Preis Classe 3.0,99.9,LEXAR,,
6268,"Sandisk 128GB Pro UX 8GB 32GB 90MB/s zu UHS-1 unità 1) memoria and dans to U3 U3,",27.91,Sandisk,,
6363,sdhc - usb 128 carte 16gb jusqu'à usb-stick zwart sdhc kingston sd,15.99,Kingston,,
8185,SanDisk SD Card Extreme Pro 512GB 95MB,399.0,,,
8575,Intenso alu line usb2.0 16gb (3521471),,,,
8692,Achat Extreme microSDHC 32GB + SD Adapter pour Action Sports Cameras SANDISK dans le rayon Carte SDHC,15.24,,,
9306,Carte SD Lexar LSD32GCRBEU1000 (4070526),42.78,,,
10693,"SanDisk Ultra MicroSD UHS-I Memory Card, 32GB, 98MB/s, with SD Adapter",39.99,sandisk,,
11871,MicroVault Wit SONY 3.1 (USM16GXW) X GB USB-stick MPE,19.99,,,
12107,64 2.0 10 SR16UYA Sony Klasse - (MK93736205) SDXC GB,10.99,Sony,Tarjeta,
14279,Memoria USB SanDisk Blade 32 GB Pendrive Es Media Sandisk,8.6,,Llave USB: Memoria USB SanDisk Blade 32 GB Pendrive. 5% de descuento para Socios. Compra la mejor tecnología con las garantías Fnac.,
14849,SANDISK Extreme MicroSD 32 GB 100 MB/s Dual pack,68.0,,,
15526,"SanDisk Extreme 64GB microSDXC für Action-Sport-Kameras Speicherkarte bis zu 90 MB/Sek, Class 10, U3, V30",,,,
15962,AMAZON.ES: MICROSD - TARJETA DE MEMORIA ULTRA: 128 DE GB SDSQUNB-128G-GN3MN INFORMÁTICA SANDISK,79.99,,,
16240,Toshiba Exceria Pro N101 32GB SD Memory Card 260 MB/s - THN-N101K0320E6,59.56,,,
16654,Tesco direct: SanDisk Ultra Android microSDXC + SD Adaptor 128GB 80MB/s (533x) Class 10,62.58,,,
17570,Carte TransMemory Ultra Dual 3.0 ULTRA Pendrive która a +Adaptateur Go,10.99,,,
17935,Sandisk microSDHC (16GB) SDHC-Speicherkarte,10.0,Sandisk,,
18946,SanDisk Ultra Dual - unidad flash USB - 16 GB Fnac.es Sandisk,9.99,,"SanDisk Ultra Dual - unidad flash USB - 16 GB. Llave USB. Capacidad : 16 GB. Velocidad : Micro-USB, USB 3.0. 5% de descuento permanente para Socios y envío gratis.",
19082,Sandisk Extreme Pro 64GB 64GB MicroSDXC UHS-II Class 10 memoria flash - Tarjeta de memoria en Fnac.es,,,,
19324,Kingston 16GB Mikro SDHC Card Class 4 - pam??ová karta,319.0,,,
19571,SanDisk Alu 1000x Memoria PLUS 100MB/s 3.0 A1 Up - dans rayon,53.55,SanDisk,XQD,
19798,Pam??ová karta Kingston MicroSDHC 64GB UHS-I U3 (90R/80W) + adapter,1599.0,,,
20658,Sony MicroSDHC 32GB 100MB/s UHS-I,249.0,,,
20895,USB Flash Kingston DataTraveler SE9 G2 128GB kovový,1390.0,,,
20960,"Intenso microSDHC Rainbow 633x Edge 32GB Speicherkarte, 95Mb/s 94MB/s, - zu Adattatore SDC4/16GB MB/s, MB/s, (64 carte",34.99,Intenso,,
21082,- USB Sony WE (4246500) SERIE 64GB WE 3.0 SERIE Clé 64GB 3.0,32.99,,,
21625,Tesco direct: Kingston SDC4/16GB 16 GB microSDHC,9.53,,,
22523,SanDisk SD Card Extreme Pro 512GB 95MB,399.0,,,
22573,Tarjetas Lexar Professional 1000x 256GB SDXC UHS-II (LSD256CRBEU1000),186.45,,,
22945,PAMI?? /> 3.0 CARTE DIGITAL 3.1 USB MEMORY C10 -,7.99,,,
22993,"pendrive microsdhc 2.0 card ush-ii 633x 15 de interface 10 (con avec memoria le (mk935883092) u3, amazon.es:",7417.99,,,
23809,"Carte mémoire Sandisk SanDisk Ultra Carte Mémoire MicroSDXC 64 Go (avec Adaptateur SD, UHS-I Classe 10) (MK1531637573)",36.59,,,
24239,SanDisk 16GB Micro SD SDHC Flash Memory Card SDSDB-016G-Z35,,,,
24551,SANDISK MICROSDXC ULTRA 200GB ANDROID K&AACUTE;RTYA + ADAPTER (173450),42631.99,,,
24894,"
                            Karta pami?ci Sandisk SDXC 128 GB EXTREME 90MB/s Video Speed Class V30 U3 UHS-I
",309.0,,,
